
[MarioAI] ~ Evaluation Results: Evaluation lasted: 47709 ms; Status: Loss; Mode: small;  Passed (Cells): 87;  Passed (Phys): 1401; Time Spent: 44; Time Left: 155; Coins: 37; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 10; By Fire: 0; By Shell: 0; By Stomp: 10; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 58645 ms; Status: Loss; Mode: small;  Passed (Cells): 103;  Passed (Phys): 1663; Time Spent: 55; Time Left: 144; Coins: 44; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 9; By Fire: 0; By Shell: 0; By Stomp: 9; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 5818 ms; Status: Loss; Mode: small;  Passed (Cells): 16;  Passed (Phys): 257; Time Spent: 5; Time Left: 194; Coins: 2; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 74833 ms; Status: Loss; Mode: small;  Passed (Cells): 75;  Passed (Phys): 1215; Time Spent: 70; Time Left: 129; Coins: 28; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 9; By Fire: 0; By Shell: 0; By Stomp: 9; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 5888 ms; Status: Loss; Mode: small;  Passed (Cells): 16;  Passed (Phys): 257; Time Spent: 5; Time Left: 194; Coins: 4; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 20091 ms; Status: Loss; Mode: small;  Passed (Cells): 48;  Passed (Phys): 782; Time Spent: 18; Time Left: 181; Coins: 11; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 2; By Fire: 0; By Shell: 0; By Stomp: 2; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 11571 ms; Status: Loss; Mode: small;  Passed (Cells): 30;  Passed (Phys): 487; Time Spent: 10; Time Left: 189; Coins: 1; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 2; By Fire: 0; By Shell: 0; By Stomp: 2; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 14909 ms; Status: Loss; Mode: small;  Passed (Cells): 47;  Passed (Phys): 764; Time Spent: 14; Time Left: 186; Coins: 10; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 76961 ms; Status: Loss; Mode: small;  Passed (Cells): 139;  Passed (Phys): 2225; Time Spent: 72; Time Left: 127; Coins: 66; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 16; By Fire: 0; By Shell: 0; By Stomp: 16; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 121621 ms; Status: WIN!; Mode: Large;  Passed (Cells): 256;  Passed (Phys): 4096; Time Spent: 114; Time Left: 85; Coins: 105; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 0; kills: 19; By Fire: 0; By Shell: 0; By Stomp: 19; MEMO INFO: WIN;  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 43381 ms; Status: Loss; Mode: small;  Passed (Cells): 54;  Passed (Phys): 879; Time Spent: 40; Time Left: 159; Coins: 11; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 6; By Fire: 0; By Shell: 0; By Stomp: 6; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 10

[MarioAI] ~ Evaluation Results: Evaluation lasted: 178067 ms; Status: WIN!; Mode: FIRE;  Passed (Cells): 256;  Passed (Phys): 4096; Time Spent: 167; Time Left: 32; Coins: 45; Hidden blocks: 0; Mushrooms: 3; Flowers: 1; Collisions: 2; kills: 28; By Fire: 8; By Shell: 0; By Stomp: 20; MEMO INFO: WIN;  level: 10

[MarioAI] ~ Evaluation Results: Evaluation lasted: 15263 ms; Status: Loss; Mode: small;  Passed (Cells): 41;  Passed (Phys): 664; Time Spent: 14; Time Left: 185; Coins: 8; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 4; By Fire: 0; By Shell: 0; By Stomp: 4; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 11

[MarioAI] ~ Evaluation Results: Evaluation lasted: 22791 ms; Status: Loss; Mode: small;  Passed (Cells): 49;  Passed (Phys): 790; Time Spent: 21; Time Left: 178; Coins: 11; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 5; By Fire: 0; By Shell: 0; By Stomp: 5; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 11

[MarioAI] ~ Evaluation Results: Evaluation lasted: 23925 ms; Status: Loss; Mode: small;  Passed (Cells): 41;  Passed (Phys): 656; Time Spent: 22; Time Left: 177; Coins: 13; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 4; By Fire: 0; By Shell: 0; By Stomp: 4; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 11

[MarioAI] ~ Evaluation Results: Evaluation lasted: 29535 ms; Status: Loss; Mode: small;  Passed (Cells): 68;  Passed (Phys): 1089; Time Spent: 27; Time Left: 172; Coins: 25; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 4; By Fire: 0; By Shell: 0; By Stomp: 4; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 11

[MarioAI] ~ Evaluation Results: Evaluation lasted: 18743 ms; Status: Loss; Mode: small;  Passed (Cells): 48;  Passed (Phys): 776; Time Spent: 17; Time Left: 182; Coins: 14; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 3; By Fire: 0; By Shell: 0; By Stomp: 3; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 11

[MarioAI] ~ Evaluation Results: Evaluation lasted: 4686 ms; Status: Loss; Mode: small;  Passed (Cells): 17;  Passed (Phys): 282; Time Spent: 4; Time Left: 195; Coins: 3; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 11

